id,bench,name,gpt-5.6-terra_verdict,gpt-5.6-terra_net_live,gpt-5.6-sol_verdict,gpt-5.6-sol_net_live,consensus,agreement
tb2.1__path-tracing-reverse,tb2.1,path-tracing-reverse,vanilla,-32.2,vanilla,-32.2,vanilla,2/2
tb2.1__polyglot-c-py,tb2.1,polyglot-c-py,vanilla,-38.5,vanilla,-48.5,vanilla,2/2
tb2.1__polyglot-rust-c,tb2.1,polyglot-rust-c,borderline,-10.3,borderline,-10.3,borderline,2/2
tb2.1__portfolio-optimization,tb2.1,portfolio-optimization,babysitter,10.7,babysitter,23.9,babysitter,2/2
tb2.1__protein-assembly,tb2.1,protein-assembly,borderline,-10.3,borderline,0,borderline,2/2
tb2.1__prove-plus-comm,tb2.1,prove-plus-comm,borderline,-27,borderline,-21.3,borderline,2/2
tb2.1__pypi-server,tb2.1,pypi-server,babysitter,-7.9,babysitter,16.5,babysitter,2/2
tb2.1__pytorch-model-cli,tb2.1,pytorch-model-cli,borderline,-22.2,borderline,-16.5,borderline,2/2
tb2.1__pytorch-model-recovery,tb2.1,pytorch-model-recovery,vanilla,-38.3,vanilla,-38.3,vanilla,2/2
tb2.1__qemu-alpine-ssh,tb2.1,qemu-alpine-ssh,borderline,-10.7,borderline,-10.7,borderline,2/2
tb2.1__qemu-startup,tb2.1,qemu-startup,borderline,-19.4,borderline,-10.7,borderline,2/2
tb2.1__query-optimize,tb2.1,query-optimize,vanilla,-49.4,borderline,-26.4,needs-third-judge,1/2
tb2.1__raman-fitting,tb2.1,raman-fitting,vanilla,-53.8,vanilla,-68.2,vanilla,2/2
tb2.1__regex-chess,tb2.1,regex-chess,babysitter,49.2,babysitter,60.7,babysitter,2/2
tb2.1__regex-log,tb2.1,regex-log,borderline,-20.9,borderline,-15.1,borderline,2/2
tb2.1__reshard-c4-data,tb2.1,reshard-c4-data,borderline,-16.5,borderline,-0.4,borderline,2/2
tb2.1__rstan-to-pystan,tb2.1,rstan-to-pystan,borderline,-17.8,borderline,-3.1,borderline,2/2
tb2.1__sam-cell-seg,tb2.1,sam-cell-seg,babysitter,34.9,babysitter,39.5,babysitter,2/2
tb2.1__sanitize-git-repo,tb2.1,sanitize-git-repo,borderline,-1.9,borderline,2.5,borderline,2/2
tb2.1__schemelike-metacircular-eval,tb2.1,schemelike-metacircular-eval,borderline,-7.1,babysitter,7.3,needs-third-judge,1/2
tb2.1__sparql-university,tb2.1,sparql-university,borderline,3.1,borderline,3.1,borderline,2/2
tb2.1__sqlite-db-truncate,tb2.1,sqlite-db-truncate,vanilla,-35.1,vanilla,-35.1,vanilla,2/2
tb2.1__sqlite-with-gcov,tb2.1,sqlite-with-gcov,borderline,2.1,borderline,-16.5,borderline,2/2
tb2.1__torch-pipeline-parallelism,tb2.1,torch-pipeline-parallelism,babysitter,20.1,babysitter,34.1,babysitter,2/2
tb2.1__torch-tensor-parallelism,tb2.1,torch-tensor-parallelism,babysitter,30.1,babysitter,30.1,babysitter,2/2
tb2.1__train-fasttext,tb2.1,train-fasttext,borderline,-13.6,borderline,-7.9,borderline,2/2
tb2.1__tune-mjcf,tb2.1,tune-mjcf,borderline,-26.4,borderline,-26.4,borderline,2/2
tb2.1__video-processing,tb2.1,video-processing,borderline,-20.3,borderline,-20.3,borderline,2/2
tb2.1__vulnerable-secret,tb2.1,vulnerable-secret,vanilla,-58.4,vanilla,-58.4,vanilla,2/2
tb2.1__winning-avg-corewars,tb2.1,winning-avg-corewars,borderline,-21.8,babysitter,5.4,needs-third-judge,1/2
tb2.1__write-compressor,tb2.1,write-compressor,babysitter,8.8,babysitter,14.6,babysitter,2/2
tb3__atrx-vep-crispr,tb3,atrx-vep-crispr,babysitter,38.7,babysitter,47.3,babysitter,2/2
tb3__batched-eval-parity,tb3,batched-eval-parity,babysitter,13.4,borderline,0.6,needs-third-judge,1/2
tb3__biped-contact-dynamics,tb3,biped-contact-dynamics,babysitter,18.8,babysitter,33.3,babysitter,2/2
tb3__bun-sourcemap-leak,tb3,bun-sourcemap-leak,borderline,-6.1,borderline,-19,borderline,2/2
tb3__cad-model,tb3,cad-model,vanilla,-35.1,borderline,-20.3,needs-third-judge,1/2
tb3__cargo-flight-dispatch,tb3,cargo-flight-dispatch,borderline,-1.3,borderline,0.4,borderline,2/2
tb3__cli-2ph-simplex,tb3,cli-2ph-simplex,babysitter,33.7,babysitter,55.9,babysitter,2/2
tb3__coq-block-bound,tb3,coq-block-bound,borderline,3.1,babysitter,8.8,needs-third-judge,1/2
tb3__ctr-optimization,tb3,ctr-optimization,babysitter,19.9,babysitter,14.2,babysitter,2/2
tb3__cumulative-layout-shift,tb3,cumulative-layout-shift,babysitter,11.9,borderline,-6.7,needs-third-judge,1/2
tb3__data-anonymization,tb3,data-anonymization,babysitter,27.8,babysitter,27.8,babysitter,2/2
tb3__distributed-dedup,tb3,distributed-dedup,babysitter,56.1,babysitter,60.7,babysitter,2/2
tb3__embedding-drift-monitor,tb3,embedding-drift-monitor,borderline,-33.1,borderline,-1.3,borderline,2/2
tb3__erp-procurement-planning,tb3,erp-procurement-planning,babysitter,24.5,babysitter,24.5,babysitter,2/2
tb3__exam-pdf-eval,tb3,exam-pdf-eval,babysitter,51.3,babysitter,75.7,babysitter,2/2
tb3__fin-saccr-rwa,tb3,fin-saccr-rwa,borderline,1.5,borderline,1.5,borderline,2/2
tb3__fix-uautomizer-soundness,tb3,fix-uautomizer-soundness,borderline,-15.9,borderline,-18.8,borderline,2/2
tb3__foodstuff-beta-activity,tb3,foodstuff-beta-activity,vanilla,-35.1,borderline,-21.8,needs-third-judge,1/2
tb3__formal-crypto,tb3,formal-crypto,borderline,-8.8,borderline,-8.8,borderline,2/2
tb3__fp8-rmsnorm-gemm,tb3,fp8-rmsnorm-gemm,babysitter,74.7,babysitter,60.7,babysitter,2/2
tb3__freecad-impeller,tb3,freecad-impeller,borderline,-16.5,babysitter,38.7,needs-third-judge,1/2
tb3__freecad-platform-drawing,tb3,freecad-platform-drawing,vanilla,-35.1,borderline,-17.8,needs-third-judge,1/2
tb3__freecad-spring-clip,tb3,freecad-spring-clip,babysitter,-7.9,babysitter,41.6,babysitter,2/2
tb3__freight-dispatch-shift,tb3,freight-dispatch-shift,babysitter,25.9,babysitter,44.4,babysitter,2/2
tb3__glycan-ms2-elucidation,tb3,glycan-ms2-elucidation,borderline,-8.8,borderline,-7.1,borderline,2/2
tb3__gpt2-codegolf,tb3,gpt2-codegolf,babysitter,28.9,babysitter,43.5,babysitter,2/2
tb3__gsea-proteomics,tb3,gsea-proteomics,babysitter,43.3,babysitter,53.6,babysitter,2/2
tb3__heat-pump-warranty,tb3,heat-pump-warranty,borderline,-7.1,borderline,-2.5,borderline,2/2
tb3__hof-topology-interpenetration,tb3,hof-topology-interpenetration,babysitter,6.1,babysitter,17.6,babysitter,2/2
tb3__html-js-filter,tb3,html-js-filter,borderline,-28,borderline,-25.1,borderline,2/2
tb3__ico-path-patch,tb3,ico-path-patch,babysitter,18.8,babysitter,30.3,babysitter,2/2
tb3__interleaved-vigenere,tb3,interleaved-vigenere,borderline,-29.3,borderline,-14.9,borderline,2/2
tb3__intrastat-meldung,tb3,intrastat-meldung,babysitter,7.3,babysitter,63.4,babysitter,2/2
tb3__jax-speedrun-gpu,tb3,jax-speedrun-gpu,babysitter,39.3,babysitter,66.5,babysitter,2/2
tb3__ks-solver-cpp,tb3,ks-solver-cpp,babysitter,21.7,babysitter,21.7,babysitter,2/2
tb3__kv-live-surgery,tb3,kv-live-surgery,borderline,-10.1,borderline,0.2,borderline,2/2
tb3__lake-temp-glm,tb3,lake-temp-glm,babysitter,5.6,babysitter,5.6,babysitter,2/2
tb3__layout-config-recreation,tb3,layout-config-recreation,borderline,-13.2,borderline,-13.2,borderline,2/2
tb3__layout-config-recreation2,tb3,layout-config-recreation2,babysitter,5.4,babysitter,10.2,babysitter,2/2
tb3__lean-midpoint-proof,tb3,lean-midpoint-proof,borderline,8.8,babysitter,8.8,needs-third-judge,1/2
tb3__legacy-utility-triage,tb3,legacy-utility-triage,borderline,2.9,borderline,-5.4,borderline,2/2
tb3__live-database-cutover,tb3,live-database-cutover,babysitter,19.9,babysitter,24.5,babysitter,2/2
tb3__math-eval-grader,tb3,math-eval-grader,babysitter,16.5,babysitter,53.6,babysitter,2/2
tb3__medical-claims-processing,tb3,medical-claims-processing,babysitter,8.6,babysitter,21.8,babysitter,2/2
tb3__memcached-backdoor,tb3,memcached-backdoor,vanilla,-35.1,borderline,-20.3,needs-third-judge,1/2
tb3__mp-checkpoint-consolidation,tb3,mp-checkpoint-consolidation,borderline,7.3,babysitter,4.4,needs-third-judge,1/2
tb3__music-harmony,tb3,music-harmony,vanilla,-35.1,vanilla,-35.1,vanilla,2/2
tb3__mvcc-lsm-compaction,tb3,mvcc-lsm-compaction,babysitter,8.4,borderline,-1.3,needs-third-judge,1/2
tb3__nextjs-performance,tb3,nextjs-performance,borderline,-23.9,borderline,-26.8,borderline,2/2
tb3__ontology-kg-querying,tb3,ontology-kg-querying,babysitter,16.3,babysitter,27.8,babysitter,2/2
tb3__payments-pipeline-fix,tb3,payments-pipeline-fix,vanilla,-45,borderline,-19.9,needs-third-judge,1/2
tb3__photonic-waveguide-routing,tb3,photonic-waveguide-routing,borderline,-29.3,borderline,-20.1,borderline,2/2
tb3__pretrain-shard-corruption,tb3,pretrain-shard-corruption,borderline,-19.2,borderline,-13,borderline,2/2
tb3__production-planning,tb3,production-planning,babysitter,18.8,babysitter,24.5,babysitter,2/2
tb3__protein-autointerp-disulfide,tb3,protein-autointerp-disulfide,borderline,-30.5,borderline,-17.2,borderline,2/2
tb3__react-lead-form,tb3,react-lead-form,babysitter,38.7,babysitter,36.2,babysitter,2/2
tb3__retro-console-soc,tb3,retro-console-soc,babysitter,49.2,babysitter,62.5,babysitter,2/2
tb3__risk-scorer-replay,tb3,risk-scorer-replay,babysitter,13,babysitter,13,babysitter,2/2
tb3__roy-polymorph-cn,tb3,roy-polymorph-cn,babysitter,7.3,babysitter,6.1,babysitter,2/2
tb3__rs-archive-clone,tb3,rs-archive-clone,babysitter,53.8,babysitter,37,babysitter,2/2
tb3__satb-audio-transcription,tb3,satb-audio-transcription,babysitter,1.5,borderline,2.9,needs-third-judge,1/2
tb3__session-window-debug,tb3,session-window-debug,vanilla,-33.1,borderline,-28.5,needs-third-judge,1/2
tb3__sglang-qwen-burst,tb3,sglang-qwen-burst,vanilla,-53.6,vanilla,-53.6,vanilla,2/2
tb3__shadow-relay,tb3,shadow-relay,borderline,-7.1,borderline,-7.1,borderline,2/2
tb3__sound-change-cascade,tb3,sound-change-cascade,babysitter,8.4,babysitter,24.5,babysitter,2/2
tb3__takens-embedding-lean,tb3,takens-embedding-lean,borderline,3.1,babysitter,17.4,needs-third-judge,1/2
tb3__telecom-entity-resolution,tb3,telecom-entity-resolution,babysitter,35.3,babysitter,35.3,babysitter,2/2
tb3__uefi-bootkit,tb3,uefi-bootkit,vanilla,-33.5,borderline,-18.8,needs-third-judge,1/2
tb3__vba-userform-port,tb3,vba-userform-port,babysitter,23.4,babysitter,6.1,babysitter,2/2
tb3__vf2-speedup-networkx,tb3,vf2-speedup-networkx,babysitter,34.5,babysitter,33.3,babysitter,2/2
tb3__vllm-deepseek-streaming,tb3,vllm-deepseek-streaming,vanilla,-47.9,borderline,-24.5,needs-third-judge,1/2
tb3__vpp-loss-divergence,tb3,vpp-loss-divergence,vanilla,-23.6,borderline,-27.4,needs-third-judge,1/2
tb3__wal-recovery-ordering,tb3,wal-recovery-ordering,babysitter,44.4,babysitter,43.3,babysitter,2/2
tb3__wdm-design,tb3,wdm-design,babysitter,32.8,babysitter,20.1,babysitter,2/2
